dataset,corruption,method,role,checkpoint,config,n_images,n_feature_files,feature_bytes,feature_dir,index_path,feature_pattern,extraction_point,metadata,row_alignment,status
DIOR,brightness,F,student,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/F/ddp2/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/F/student,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/F/student/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,cloudy,A,ema,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/train/epoch_100.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/A/ema,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/A/ema/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,cloudy,B,ema,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/cloudy/seed_42/0f98a48/methods/B/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/B/ema,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/B/ema/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,cloudy,B,student,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/cloudy/seed_42/0f98a48/methods/B/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/B/student,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/B/student/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,cloudy,C,ema,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/cloudy/seed_42/0f98a48/methods/C/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/C/ema,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/C/ema/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,cloudy,C,student,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/cloudy/seed_42/0f98a48/methods/C/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/C/student,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/C/student/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,cloudy,D,ema,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/cloudy/seed_42/0f98a48/methods/D/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/D/ema,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/D/ema/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,cloudy,D,student,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/cloudy/seed_42/0f98a48/methods/D/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/D/student,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/D/student/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,cloudy,E,ema,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/cloudy/seed_42/0f98a48/methods/E/ddp2/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/E/ema,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/E/ema/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,cloudy,E,student,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/cloudy/seed_42/0f98a48/methods/E/ddp2/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/E/student,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/E/student/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,cloudy,F,ema,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/cloudy/seed_42/0f98a48/methods/F/ddp2/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/F/ema,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/F/ema/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,cloudy,F,student,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/cloudy/seed_42/0f98a48/methods/F/ddp2/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/F/student,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/F/student/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,contrast,A,ema,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/train/epoch_100.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/A/ema,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/A/ema/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,contrast,B,ema,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/contrast/seed_42/0f98a48/methods/B/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/B/ema,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/B/ema/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,contrast,B,student,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/contrast/seed_42/0f98a48/methods/B/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/B/student,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/B/student/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,contrast,C,ema,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/contrast/seed_42/0f98a48/methods/C/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/C/ema,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/C/ema/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,contrast,C,student,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/contrast/seed_42/0f98a48/methods/C/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/C/student,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/C/student/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,contrast,D,ema,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/contrast/seed_42/0f98a48/methods/D/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/D/ema,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/D/ema/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,contrast,D,student,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/contrast/seed_42/0f98a48/methods/D/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/D/student,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/D/student/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,contrast,E,ema,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/contrast/seed_42/0f98a48/methods/E/ddp2/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/E/ema,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/E/ema/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,contrast,E,student,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/contrast/seed_42/0f98a48/methods/E/ddp2/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/E/student,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/E/student/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,contrast,F,ema,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/contrast/seed_42/0f98a48/methods/F/ddp2/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/F/ema,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/F/ema/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,contrast,F,student,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/contrast/seed_42/0f98a48/methods/F/ddp2/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/F/student,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/F/student/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
