dataset,domain,method,seed,comparison_group,status,terminal_complete,numerically_invalid,host,student_checkpoint,ema_checkpoint,completed_at,training_code_sha,terminal_evidence,execution_evidence,collected_at,note
DIOR,brightness,C,43,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/C/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/C/work/iter_185_ema.pth,2026-09-07T02:37:15+00:00,0f98a48b539f9260055fc305784ffbc924f50451,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/C/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:02.525049+00:00,
DIOR,brightness,C,44,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/C/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/C/work/iter_185_ema.pth,2026-09-07T16:05:32+00:00,0f98a48b539f9260055fc305784ffbc924f50451,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/C/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:02.801227+00:00,
DIOR,brightness,D,42,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/D/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/D/work/iter_185_ema.pth,2026-09-06T03:13:25+00:00,0f98a48b539f9260055fc305784ffbc924f50451,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/D/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:02.282864+00:00,
DIOR,brightness,D,43,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/D/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/D/work/iter_185_ema.pth,2026-09-07T01:55:27+00:00,0f98a48b539f9260055fc305784ffbc924f50451,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/D/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:02.579467+00:00,
DIOR,brightness,D,44,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/D/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/D/work/iter_185_ema.pth,2026-09-07T16:38:11+00:00,0f98a48b539f9260055fc305784ffbc924f50451,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/D/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:02.857488+00:00,
DIOR,brightness,E,42,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/E/ddp2/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/E/ddp2/work/iter_185_ema.pth,2026-09-06T06:28:01+00:00,0f98a48b539f9260055fc305784ffbc924f50451,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/E/ddp2/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:02.345534+00:00,
DIOR,brightness,E,43,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/E/ddp2/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/E/ddp2/work/iter_185_ema.pth,2026-09-07T19:00:48+00:00,0f98a48b539f9260055fc305784ffbc924f50451,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/E/ddp2/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:02.634640+00:00,
DIOR,brightness,E,44,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/E/ddp2/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/E/ddp2/work/iter_185_ema.pth,2026-09-07T19:20:59+00:00,0f98a48b539f9260055fc305784ffbc924f50451,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/E/ddp2/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:02.913916+00:00,
DIOR,brightness,F,42,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/F/ddp2/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/F/ddp2/work/iter_185_ema.pth,2026-09-06T07:17:13+00:00,0f98a48b539f9260055fc305784ffbc924f50451,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/F/ddp2/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:02.409597+00:00,
DIOR,brightness,F,43,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/F/ddp2/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/F/ddp2/work/iter_185_ema.pth,2026-09-07T19:12:17+00:00,0f98a48b539f9260055fc305784ffbc924f50451,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/F/ddp2/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:02.690974+00:00,
DIOR,brightness,F,44,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/F/ddp2/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/F/ddp2/work/iter_185_ema.pth,2026-09-07T19:32:22+00:00,0f98a48b539f9260055fc305784ffbc924f50451,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/F/ddp2/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:02.974252+00:00,
DIOR,brightness,F_text_only,42,common_1epoch,complete,True,False,221,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_42/methods/F_text_only/ddp2/work/iter_185.pth,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_42/methods/F_text_only/ddp2/work/iter_185_ema.pth,2026-09-09T01:04:41.204564+00:00,0f98a48b539f9260055fc305784ffbc924f50451,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_42/methods/F_text_only/ddp2/terminal_status,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_42/methods/F_text_only/execution.json,2026-09-12T01:56:07.435376+00:00,
DIOR,brightness,F_text_only,43,common_1epoch,complete,True,False,221,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_43/methods/F_text_only/ddp2/work/iter_185.pth,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_43/methods/F_text_only/ddp2/work/iter_185_ema.pth,2026-09-08T21:05:38.550865+00:00,0f98a48b539f9260055fc305784ffbc924f50451,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_43/methods/F_text_only/ddp2/terminal_status,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_43/methods/F_text_only/execution.json,2026-09-12T01:56:07.647707+00:00,
DIOR,brightness,F_text_only,44,common_1epoch,complete,True,False,221,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_44/methods/F_text_only/ddp2/work/iter_185.pth,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_44/methods/F_text_only/ddp2/work/iter_185_ema.pth,2026-09-08T21:31:05.454891+00:00,0f98a48b539f9260055fc305784ffbc924f50451,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_44/methods/F_text_only/ddp2/terminal_status,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_44/methods/F_text_only/execution.json,2026-09-12T01:56:07.823413+00:00,
DIOR,brightness,F_veto_only,42,common_1epoch,complete,True,False,221,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_42/methods/F_veto_only/ddp2/work/iter_185.pth,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_42/methods/F_veto_only/ddp2/work/iter_185_ema.pth,2026-09-09T01:18:11.428286+00:00,0f98a48b539f9260055fc305784ffbc924f50451,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_42/methods/F_veto_only/ddp2/terminal_status,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_42/methods/F_veto_only/execution.json,2026-09-12T01:56:07.526568+00:00,
DIOR,brightness,F_veto_only,43,common_1epoch,complete,True,False,221,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_43/methods/F_veto_only/ddp2/work/iter_185.pth,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_43/methods/F_veto_only/ddp2/work/iter_185_ema.pth,2026-09-08T21:19:07.024953+00:00,0f98a48b539f9260055fc305784ffbc924f50451,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_43/methods/F_veto_only/ddp2/terminal_status,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_43/methods/F_veto_only/execution.json,2026-09-12T01:56:07.738863+00:00,
DIOR,brightness,F_veto_only,44,common_1epoch,complete,True,False,221,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_44/methods/F_veto_only/ddp2/work/iter_185.pth,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_44/methods/F_veto_only/ddp2/work/iter_185_ema.pth,2026-09-08T21:44:23.964019+00:00,0f98a48b539f9260055fc305784ffbc924f50451,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_44/methods/F_veto_only/ddp2/terminal_status,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/dior/brightness/seed_44/methods/F_veto_only/execution.json,2026-09-12T01:56:07.917789+00:00,
DIOR,brightness,IRG,42,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_42/methods/IRG/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_42/methods/IRG/work/iter_185_ema.pth,2026-09-08T09:49:01+00:00,a39c83221c73e71d273b96ef95c65f6d8d1e84f9,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_42/methods/IRG/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_42/methods/IRG/execution.json,2026-09-12T01:56:08.114521+00:00,
DIOR,brightness,IRG,43,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_43/methods/IRG/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_43/methods/IRG/work/iter_185_ema.pth,2026-09-08T09:55:18+00:00,a39c83221c73e71d273b96ef95c65f6d8d1e84f9,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_43/methods/IRG/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_43/methods/IRG/execution.json,2026-09-12T01:56:08.216295+00:00,
DIOR,brightness,IRG,44,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_44/methods/IRG/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_44/methods/IRG/work/iter_185_ema.pth,2026-09-08T10:01:52+00:00,a39c83221c73e71d273b96ef95c65f6d8d1e84f9,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_44/methods/IRG/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_44/methods/IRG/execution.json,2026-09-12T01:56:08.310996+00:00,
DIOR,brightness,LPLD,42,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_42/methods/LPLD/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_42/methods/LPLD/work/iter_185_ema.pth,2026-09-08T09:48:51+00:00,a39c83221c73e71d273b96ef95c65f6d8d1e84f9,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_42/methods/LPLD/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_42/methods/LPLD/execution.json,2026-09-12T01:56:08.150561+00:00,
DIOR,brightness,LPLD,43,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_43/methods/LPLD/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_43/methods/LPLD/work/iter_185_ema.pth,2026-09-08T09:55:14+00:00,a39c83221c73e71d273b96ef95c65f6d8d1e84f9,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_43/methods/LPLD/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_43/methods/LPLD/execution.json,2026-09-12T01:56:08.249387+00:00,
DIOR,brightness,LPLD,44,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_44/methods/LPLD/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_44/methods/LPLD/work/iter_185_ema.pth,2026-09-08T10:01:34+00:00,a39c83221c73e71d273b96ef95c65f6d8d1e84f9,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_44/methods/LPLD/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/dior/brightness/seed_44/methods/LPLD/execution.json,2026-09-12T01:56:08.344952+00:00,
DIOR,brightness,LoRA-CGA,42,supervised_lora_oracle,complete,True,False,221,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/oracle_dior24_20260909/dior/brightness/seed_42/methods/LoRA-CGA/work/iter_185.pth,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/oracle_dior24_20260909/dior/brightness/seed_42/methods/LoRA-CGA/work/iter_185_ema.pth,2026-09-12T00:19:46.425456+00:00,599de030df5a8658bf5f50d9fd5dfe442f8fc35d,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/oracle_dior24_20260909/dior/brightness/seed_42/methods/LoRA-CGA/terminal_status,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/oracle_dior24_20260909/dior/brightness/seed_42/methods/LoRA-CGA/execution.json,2026-09-12T01:56:14.025799+00:00,
DIOR,brightness,LoRA-CGA,43,supervised_lora_oracle,complete,True,False,221,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/oracle_dior24_20260909/dior/brightness/seed_43/methods/LoRA-CGA/work/iter_185.pth,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/oracle_dior24_20260909/dior/brightness/seed_43/methods/LoRA-CGA/work/iter_185_ema.pth,2026-09-12T00:20:53.858113+00:00,599de030df5a8658bf5f50d9fd5dfe442f8fc35d,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/oracle_dior24_20260909/dior/brightness/seed_43/methods/LoRA-CGA/terminal_status,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/oracle_dior24_20260909/dior/brightness/seed_43/methods/LoRA-CGA/execution.json,2026-09-12T01:56:14.037461+00:00,
DIOR,brightness,LoRA-CGA,44,supervised_lora_oracle,complete,True,False,221,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/oracle_dior24_20260909/dior/brightness/seed_44/methods/LoRA-CGA/work/iter_185.pth,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/oracle_dior24_20260909/dior/brightness/seed_44/methods/LoRA-CGA/work/iter_185_ema.pth,2026-09-12T00:20:52.749136+00:00,599de030df5a8658bf5f50d9fd5dfe442f8fc35d,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/oracle_dior24_20260909/dior/brightness/seed_44/methods/LoRA-CGA/terminal_status,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/oracle_dior24_20260909/dior/brightness/seed_44/methods/LoRA-CGA/execution.json,2026-09-12T01:56:14.031638+00:00,
