dataset,domain,method,seed,role,status,expected_images,completed_images,completed_visualizations,evidence,manifest,collected_at
RSAR,noise_suppression,D,42,student,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/noise_suppression/D/student,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,noise_suppression,E,42,ema,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/noise_suppression/E/ema,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,noise_suppression,E,42,student,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/noise_suppression/E/student,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,noise_suppression,F,42,ema,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/noise_suppression/F/ema,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,noise_suppression,F,42,student,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/noise_suppression/F/student,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,am_noise_horizontal,A,42,source,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/am_noise_horizontal/A/source,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,am_noise_horizontal,B,42,ema,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/am_noise_horizontal/B/ema,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,am_noise_horizontal,B,42,student,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/am_noise_horizontal/B/student,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,am_noise_horizontal,C,42,ema,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/am_noise_horizontal/C/ema,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,am_noise_horizontal,C,42,student,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/am_noise_horizontal/C/student,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,am_noise_horizontal,D,42,ema,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/am_noise_horizontal/D/ema,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,am_noise_horizontal,D,42,student,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/am_noise_horizontal/D/student,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,am_noise_horizontal,E,42,ema,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/am_noise_horizontal/E/ema,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,am_noise_horizontal,E,42,student,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/am_noise_horizontal/E/student,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,am_noise_horizontal,F,42,ema,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/am_noise_horizontal/F/ema,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,am_noise_horizontal,F,42,student,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/am_noise_horizontal/F/student,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,smart_suppression,A,42,source,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/smart_suppression/A/source,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,smart_suppression,B,42,ema,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/smart_suppression/B/ema,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,smart_suppression,B,42,student,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/smart_suppression/B/student,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,smart_suppression,C,42,ema,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/smart_suppression/C/ema,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,smart_suppression,C,42,student,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/smart_suppression/C/student,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,smart_suppression,D,42,ema,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/smart_suppression/D/ema,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,smart_suppression,D,42,student,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/smart_suppression/D/student,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,smart_suppression,E,42,ema,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/smart_suppression/E/ema,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
RSAR,smart_suppression,E,42,student,accepted_core_complete,8538,8538,32,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/smart_suppression/E/student,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:05.977492+00:00
