dataset,domain,method,seed,status,host,budget,completed_at,evidence,collected_at,note,config_evidence,training_log_evidence,final_train_loss,final_train_top1_acc
RSAR,smart_suppression,TAM,42,unfinished_freshfit,67,160000 outer iterations; 320000 optimizer updates,,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/tam_manifests_84a1aeb/runtime.json,2026-09-12T01:56:09.319005+00:00,One domain fit reused by detector seeds42/43/44; prior .183 coordination interruption; no final.,,,,
RSAR,am_noise_vertical,TAM,42,unfinished_freshfit,67,160000 outer iterations; 320000 optimizer updates,,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/tam_manifests_84a1aeb/runtime.json,2026-09-12T01:56:09.319005+00:00,One domain fit reused by detector seeds42/43/44; prior .183 coordination interruption; no final.,,,,
DIOR,clean,TAM,42,complete,183,160000 outer iterations; 320000 optimizer updates,2026-09-12T00:19:37.070049+00:00,.183:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/tam_runs_84a1aeb/dior/clean/seed_42/terminal.json,2026-09-12T02:03:17.917327+00:00,One domain fit reused by detector seeds42/43/44; original final retained.,,,,
DIOR,brightness,TAM,42,complete,183,160000 outer iterations; 320000 optimizer updates,2026-09-12T00:36:43.417125+00:00,.183:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/tam_runs_84a1aeb/dior/brightness/seed_42/terminal.json,2026-09-12T02:03:17.917094+00:00,One domain fit reused by detector seeds42/43/44; original final retained.,,,,
DIOR,cloudy,TAM,42,complete,183,160000 outer iterations; 320000 optimizer updates,2026-09-12T00:23:40.245266+00:00,.183:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/tam_runs_84a1aeb/dior/cloudy/seed_42/terminal.json,2026-09-12T02:03:17.917426+00:00,One domain fit reused by detector seeds42/43/44; original final retained.,,,,
DIOR,contrast,TAM,42,complete,183,160000 outer iterations; 320000 optimizer updates,2026-09-12T00:18:24.547992+00:00,.183:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/tam_runs_84a1aeb/dior/contrast/seed_42/terminal.json,2026-09-12T02:03:17.917232+00:00,One domain fit reused by detector seeds42/43/44; original final retained.,,,,
RSAR,clean,TSD,42,complete,221,20 stochastic passes x 8467 VAL images,2026-09-09T20:49:04.471374+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/clean/seed_42/methods/AASFOD/tsd.json,2026-09-12T01:56:12.336133+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,clean,TSD,44,complete,221,20 stochastic passes x 8467 VAL images,2026-09-09T23:38:20.080791+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/clean/seed_44/methods/AASFOD/tsd.json,2026-09-12T01:56:12.472584+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,clean,TSD,43,complete,221,20 stochastic passes x 8467 VAL images,2026-09-09T23:38:24.039847+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/clean/seed_43/methods/AASFOD/tsd.json,2026-09-12T01:56:12.552205+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,chaff,TSD,42,complete,221,20 stochastic passes x 8467 VAL images,2026-09-09T23:38:18.103763+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/chaff/seed_42/methods/AASFOD/tsd.json,2026-09-12T01:56:12.616797+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,chaff,TSD,44,complete,221,20 stochastic passes x 8467 VAL images,2026-09-10T00:15:22.406766+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/chaff/seed_44/methods/AASFOD/tsd.json,2026-09-12T01:56:12.680961+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,chaff,TSD,43,complete,221,20 stochastic passes x 8467 VAL images,2026-09-10T00:15:25.459106+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/chaff/seed_43/methods/AASFOD/tsd.json,2026-09-12T01:56:12.764203+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,gaussian_white_noise,TSD,42,complete,221,20 stochastic passes x 8467 VAL images,2026-09-10T00:15:03.131610+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/gaussian_white_noise/seed_42/methods/AASFOD/tsd.json,2026-09-12T01:56:12.829035+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,gaussian_white_noise,TSD,44,complete,221,20 stochastic passes x 8467 VAL images,2026-09-10T00:37:41.069102+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/gaussian_white_noise/seed_44/methods/AASFOD/tsd.json,2026-09-12T01:56:12.872284+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,gaussian_white_noise,TSD,43,complete,221,20 stochastic passes x 8467 VAL images,2026-09-10T00:37:45.138170+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/gaussian_white_noise/seed_43/methods/AASFOD/tsd.json,2026-09-12T01:56:12.908098+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,point_target,TSD,42,complete,221,20 stochastic passes x 8467 VAL images,2026-09-10T00:37:37.163037+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/point_target/seed_42/methods/AASFOD/tsd.json,2026-09-12T01:56:12.936720+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,point_target,TSD,44,complete,221,20 stochastic passes x 8467 VAL images,2026-09-11T18:45:14.582947+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/point_target/seed_44/methods/AASFOD/tsd.json,2026-09-12T01:56:12.964395+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,point_target,TSD,43,complete,221,20 stochastic passes x 8467 VAL images,2026-09-11T18:45:23.816250+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/point_target/seed_43/methods/AASFOD/tsd.json,2026-09-12T01:56:13.005714+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,noise_suppression,TSD,42,complete,221,20 stochastic passes x 8467 VAL images,2026-09-11T18:45:07.917728+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/noise_suppression/seed_42/methods/AASFOD/tsd.json,2026-09-12T01:56:13.040733+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,noise_suppression,TSD,43,complete,221,20 stochastic passes x 8467 VAL images,2026-09-11T19:14:29.461820+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/noise_suppression/seed_43/methods/AASFOD/tsd.json,2026-09-12T01:56:13.100713+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,noise_suppression,TSD,44,complete,221,20 stochastic passes x 8467 VAL images,2026-09-11T19:15:13.945516+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/noise_suppression/seed_44/methods/AASFOD/tsd.json,2026-09-12T01:56:13.192844+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,am_noise_horizontal,TSD,42,complete,221,20 stochastic passes x 8467 VAL images,2026-09-11T19:17:21.576344+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/am_noise_horizontal/seed_42/methods/AASFOD/tsd.json,2026-09-12T01:56:13.217403+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,am_noise_horizontal,TSD,43,complete,221,20 stochastic passes x 8467 VAL images,2026-09-11T19:48:03.709118+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/am_noise_horizontal/seed_43/methods/AASFOD/tsd.json,2026-09-12T01:56:13.272337+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,am_noise_horizontal,TSD,44,complete,221,20 stochastic passes x 8467 VAL images,2026-09-11T19:48:36.090297+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/am_noise_horizontal/seed_44/methods/AASFOD/tsd.json,2026-09-12T01:56:13.337596+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,am_noise_vertical,TSD,42,complete,221,20 stochastic passes x 8467 VAL images,2026-09-11T19:51:55.713560+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/am_noise_vertical/seed_42/methods/AASFOD/tsd.json,2026-09-12T01:56:13.392421+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,am_noise_vertical,TSD,44,complete,221,20 stochastic passes x 8467 VAL images,2026-09-11T20:25:05.558386+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/am_noise_vertical/seed_44/methods/AASFOD/tsd.json,2026-09-12T01:56:13.428898+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,am_noise_vertical,TSD,43,complete,221,20 stochastic passes x 8467 VAL images,2026-09-11T20:25:15.780782+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/am_noise_vertical/seed_43/methods/AASFOD/tsd.json,2026-09-12T01:56:13.469712+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,smart_suppression,TSD,42,complete,221,20 stochastic passes x 8467 VAL images,2026-09-11T20:21:48.505710+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/smart_suppression/seed_42/methods/AASFOD/tsd.json,2026-09-12T01:56:13.493689+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,smart_suppression,TSD,44,complete,221,20 stochastic passes x 8467 VAL images,2026-09-11T20:55:41.235245+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/smart_suppression/seed_44/methods/AASFOD/tsd.json,2026-09-12T01:56:13.538713+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
RSAR,smart_suppression,TSD,43,complete,221,20 stochastic passes x 8467 VAL images,2026-09-11T20:55:53.499702+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/rsar/smart_suppression/seed_43/methods/AASFOD/tsd.json,2026-09-12T01:56:13.571710+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
DIOR,clean,TSD,42,complete,221,20 stochastic passes x 5863 VAL images,2026-09-11T20:50:50.386423+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/clean/seed_42/methods/AASFOD/tsd.json,2026-09-12T01:56:13.607710+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
DIOR,clean,TSD,44,complete,221,20 stochastic passes x 5863 VAL images,2026-09-11T21:23:21.706645+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/clean/seed_44/methods/AASFOD/tsd.json,2026-09-12T01:56:13.635967+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
DIOR,clean,TSD,43,complete,221,20 stochastic passes x 5863 VAL images,2026-09-11T21:23:21.724646+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/clean/seed_43/methods/AASFOD/tsd.json,2026-09-12T01:56:13.654673+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
DIOR,brightness,TSD,42,complete,221,20 stochastic passes x 5863 VAL images,2026-09-11T21:22:41.997196+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_42/methods/AASFOD/tsd.json,2026-09-12T01:56:13.679737+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
DIOR,brightness,TSD,44,complete,221,20 stochastic passes x 5863 VAL images,2026-09-11T21:46:28.314013+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_44/methods/AASFOD/tsd.json,2026-09-12T01:56:13.695675+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
DIOR,brightness,TSD,43,complete,221,20 stochastic passes x 5863 VAL images,2026-09-11T21:46:28.332013+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_43/methods/AASFOD/tsd.json,2026-09-12T01:56:13.735579+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
DIOR,cloudy,TSD,42,complete,221,20 stochastic passes x 5863 VAL images,2026-09-11T21:46:04.951142+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/cloudy/seed_42/methods/AASFOD/tsd.json,2026-09-12T01:56:13.765987+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
DIOR,cloudy,TSD,44,complete,221,20 stochastic passes x 5863 VAL images,2026-09-11T22:09:24.157645+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/cloudy/seed_44/methods/AASFOD/tsd.json,2026-09-12T01:56:13.804569+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
DIOR,cloudy,TSD,43,complete,221,20 stochastic passes x 5863 VAL images,2026-09-11T22:09:31.353917+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/cloudy/seed_43/methods/AASFOD/tsd.json,2026-09-12T01:56:13.831635+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
DIOR,contrast,TSD,42,complete,221,20 stochastic passes x 5863 VAL images,2026-09-11T22:10:18.615705+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/contrast/seed_42/methods/AASFOD/tsd.json,2026-09-12T01:56:13.858157+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
DIOR,contrast,TSD,43,complete,221,20 stochastic passes x 5863 VAL images,2026-09-11T22:40:59.093876+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/contrast/seed_43/methods/AASFOD/tsd.json,2026-09-12T01:56:13.879654+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
DIOR,contrast,TSD,44,complete,221,20 stochastic passes x 5863 VAL images,2026-09-11T22:40:59.102876+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/contrast/seed_44/methods/AASFOD/tsd.json,2026-09-12T01:56:13.897945+00:00,"Post-hoc Dropout port, not source-trained Dropout.",,,,
